I	At1	At2	Class
2418	-1.17	-0.95	1.0
2890	1.21	-0.271	-1.0
2070	1.42	0.374	-1.0
2308	1.85	-0.5579999999999999	-1.0
3716	1.03	0.805	-1.0
3441	-1.51	0.348	1.0
3375	0.10400000000000001	-1.04	-1.0
2353	-0.899	-1.25	-1.0
5175	0.0224	1.43	1.0
5166	-1.45	-1.29	1.0
4317	-2.09	0.604	-1.0
5298	0.769	0.772	-1.0
1511	0.439	1.5	-1.0
1849	0.004529999999999999	1.47	-1.0
3726	-0.218	-1.63	-1.0
3377	-0.278	-1.09	-1.0
3748	-1.43	0.0281	1.0
3437	-0.341	0.0621	1.0
3537	-1.02	0.521	1.0
4223	-0.33399999999999996	-1.34	-1.0
4120	1.38	0.698	-1.0
122	0.615	-0.0228	1.0
2404	0.5539999999999999	1.19	-1.0
181	-0.41100000000000003	-1.3	-1.0
513	0.23399999999999999	0.958	-1.0
597	1.57	-0.389	-1.0
4595	0.0726	-1.31	-1.0
4394	0.938	-0.255	1.0
4129	-0.5529999999999999	-0.687	1.0
1364	0.25	0.466	1.0
101	0.98	-0.0439	1.0
4621	-0.7290000000000001	1.5	-1.0
3697	-0.114	-0.147	1.0
2673	1.03	1.61	-1.0
2057	-0.5429999999999999	-0.0204	1.0
414	0.672	2.03	-1.0
1223	-0.198	-0.536	1.0
4872	0.625	1.67	-1.0
1106	-0.111	-1.33	-1.0
2654	0.449	0.648	-1.0
4326	-0.152	-1.11	-1.0
2903	-0.772	-1.38	-1.0
238	1.19	0.6970000000000001	-1.0
2621	-1.55	-0.132	1.0
1128	0.784	0.972	-1.0
1248	-0.155	-1.03	-1.0
4765	1.4	-1.13	1.0
12	0.0809	1.93	1.0
4754	-0.27399999999999997	-0.99	-1.0
1998	0.9570000000000001	-0.7859999999999999	1.0
845	0.301	2.01	-1.0
950	-0.311	0.995	1.0
5200	1.27	0.493	-1.0
1180	-1.58	0.456	-1.0
2737	0.0526	-1.31	-1.0
507	0.8590000000000001	-0.9520000000000001	1.0
892	-0.579	-0.397	1.0
3036	-1.1	-1.24	-1.0
3813	-1.13	-1.06	-1.0
4580	-0.799	1.11	-1.0
3023	-0.7440000000000001	-0.415	1.0
2085	0.145	-0.626	1.0
2360	0.371	-1.23	-1.0
2170	-0.129	-1.69	-1.0
2915	-0.17800000000000002	-1.15	-1.0
3919	1.05	-1.11	1.0
3661	0.207	0.65	1.0
720	0.379	-0.755	-1.0
3299	-1.11	1.1	-1.0
1045	-1.63	-1.16	1.0
618	1.45	-1.24	1.0
4906	1.38	0.131	-1.0
326	1.63	-0.251	-1.0
1076	-1.44	-0.358	1.0
677	0.0949	-0.8540000000000001	1.0
5268	-0.872	0.26	1.0
230	0.268	-1.08	1.0
3538	0.752	1.58	-1.0
2827	1.0	-0.0347	-1.0
2943	0.318	0.621	1.0
4653	-1.86	-1.78	1.0
5280	-0.674	-0.62	1.0
1092	0.213	-0.752	-1.0
3759	-1.44	-0.505	1.0
448	-0.324	-1.03	-1.0
4598	-1.22	-0.68	1.0
2260	-0.669	0.51	1.0
4934	0.0436	0.0126	1.0
2456	-0.39399999999999996	1.6	-1.0
590	0.71	0.0529	1.0
963	0.0584	-0.638	1.0
90	-1.69	-1.87	1.0
684	-0.506	-1.09	-1.0
2559	-0.795	0.276	1.0
2565	0.0524	-0.853	-1.0
2838	0.927	-1.12	1.0
1811	-0.175	0.0644	1.0
2588	1.17	1.28	-1.0
4398	-1.01	0.35700000000000004	1.0
1529	-0.31	1.45	-1.0
1241	-0.28600000000000003	-0.5710000000000001	1.0
5274	-0.0262	-1.18	-1.0
1664	0.424	0.547	1.0
4925	-0.256	-0.115	1.0
4803	0.602	1.06	-1.0
1906	1.71	1.39	1.0
1886	1.01	1.57	1.0
931	-0.415	1.48	-1.0
5153	0.56	1.7	1.0
1782	1.51	1.52	1.0
1736	-1.31	0.11800000000000001	1.0
16	-1.69	-0.0461	1.0
5232	1.49	0.365	-1.0
278	-1.03	1.18	-1.0
1067	1.89	0.8340000000000001	1.0
2701	0.4	-1.39	-1.0
4589	1.34	1.44	1.0
3528	0.598	0.133	1.0
297	1.69	-0.7240000000000001	-1.0
1418	0.395	0.0856	-1.0
642	-0.256	1.52	-1.0
2728	-0.544	-0.773	-1.0
5147	1.18	1.49	-1.0
3430	0.8240000000000001	-0.6729999999999999	1.0
1089	0.0236	-1.07	-1.0
3778	0.562	0.172	1.0
4049	2.27	0.284	-1.0
2026	-0.369	0.6920000000000001	1.0
4926	0.414	1.16	-1.0
1069	0.387	1.71	-1.0
578	-0.0307	0.6779999999999999	1.0
4338	-0.7340000000000001	0.8809999999999999	-1.0
1084	-0.252	0.623	1.0
4947	0.8220000000000001	0.192	-1.0
975	1.45	0.273	-1.0
3381	1.64	1.53	1.0
703	-0.046	1.51	-1.0
4835	0.568	0.244	-1.0
4155	-0.248	-1.69	-1.0
1183	-0.892	1.25	-1.0
1657	-0.8340000000000001	1.41	-1.0
107	-0.446	-0.861	-1.0
3276	-0.644	-0.78	-1.0
1191	0.871	1.29	-1.0
1399	0.595	0.429	-1.0
3427	-1.45	-0.0461	1.0
2655	-1.51	-0.193	1.0
681	0.9390000000000001	1.69	1.0
1472	-1.1	-1.17	-1.0
4217	1.01	-0.43700000000000006	1.0
3118	-0.581	1.36	-1.0
3464	-0.637	0.9420000000000001	1.0
4521	0.0981	0.465	1.0
3388	0.38299999999999995	-0.8240000000000001	1.0
1239	-1.41	-1.02	1.0
524	0.08800000000000001	-1.25	-1.0
3071	-0.8109999999999999	-1.21	-1.0
3749	0.449	-0.0489	1.0
1167	-1.06	0.917	-1.0
5062	0.0949	-1.56	-1.0
220	1.63	0.475	-1.0
2269	0.0914	0.493	1.0
990	-0.679	-0.0957	1.0
2024	-0.0527	-0.746	-1.0
3136	-0.231	-0.75	-1.0
189	-1.33	1.08	-1.0
147	-0.903	0.10099999999999999	1.0
4923	-1.17	0.156	1.0
5067	-0.76	-0.698	1.0
682	-1.29	0.511	-1.0
4202	1.21	0.752	-1.0
4012	-0.0128	-1.27	-1.0
2135	1.33	0.406	-1.0
473	0.74	1.2	1.0
819	-0.451	0.775	1.0
2151	0.569	-0.858	-1.0
3392	1.22	-1.46	1.0
4933	0.141	0.0947	1.0
2603	0.237	-1.26	-1.0
1901	1.22	-0.159	-1.0
2319	-0.47	-1.12	-1.0
2453	-0.0779	-0.9670000000000001	-1.0
1893	-2.19	0.0991	-1.0
1336	0.13699999999999998	1.69	-1.0
4139	0.359	1.52	-1.0
4342	0.258	0.48200000000000004	1.0
4157	1.78	0.272	-1.0
3451	-1.37	-0.213	1.0
4559	-0.8270000000000001	1.23	-1.0
1720	0.9129999999999999	-1.6	1.0
392	1.37	-0.643	-1.0
3814	0.0114	1.66	-1.0
398	-1.2	-0.451	1.0
2468	1.05	0.397	-1.0
4778	-0.816	0.562	-1.0
3042	0.6859999999999999	1.2	-1.0
4614	1.8	0.0607	-1.0
1580	1.27	-0.19399999999999998	-1.0
3830	-0.866	-0.19699999999999998	1.0
2857	0.9470000000000001	-0.888	1.0
1749	-1.31	-0.32	1.0
2061	-1.63	0.293	-1.0
3753	-0.0242	-1.28	-1.0
4539	0.44299999999999995	1.54	-1.0
459	-0.127	-1.33	-1.0
2752	0.301	-0.9279999999999999	-1.0
4416	-0.855	1.22	-1.0
1384	0.40299999999999997	-0.997	-1.0
32	2.52	1.43	1.0
798	0.23800000000000002	-1.51	-1.0
4093	-1.33	0.897	-1.0
2945	-0.66	1.41	-1.0
1154	-1.28	0.213	1.0
3610	0.624	0.621	-1.0
141	-1.86	-1.57	1.0
4777	-1.17	-0.073	1.0
1648	-1.51	-1.16	1.0
996	-0.5579999999999999	-1.67	-1.0
5013	2.35	1.14	1.0
5203	-1.51	-0.769	1.0
1512	1.44	-1.73	1.0
3506	-1.51	0.48100000000000004	-1.0
4975	1.1	0.131	-1.0
4894	-0.139	0.132	1.0
4072	-0.58	-0.579	1.0
2411	-1.02	-0.469	1.0
3370	0.217	-0.961	-1.0
1284	-0.526	1.19	-1.0
536	-0.794	1.07	-1.0
4383	-0.534	-1.23	-1.0
3258	0.34700000000000003	0.414	1.0
4241	1.02	0.7290000000000001	-1.0
5284	-1.98	-0.88	1.0
3075	-0.37200000000000005	-1.38	-1.0
2936	1.15	1.49	1.0
9	-0.48200000000000004	-0.485	1.0
1460	-0.413	0.0554	1.0
3003	0.0968	0.589	1.0
2190	-0.494	-0.7190000000000001	-1.0
704	-1.35	-1.19	1.0
992	-0.547	-1.31	-1.0
301	-1.06	-1.07	-1.0
2247	0.0182	1.68	-1.0
4177	-0.452	-0.7170000000000001	1.0
4508	0.998	0.37	-1.0
1879	1.01	0.397	-1.0
2938	-0.10800000000000001	-0.7929999999999999	1.0
2594	0.0399	-1.28	-1.0
3065	1.02	0.72	-1.0
126	0.845	0.7659999999999999	-1.0
999	-0.122	-0.0671	1.0
5131	-0.9690000000000001	1.02	-1.0
3605	-1.26	-0.11900000000000001	1.0
3862	-0.265	1.71	-1.0
2448	-1.52	0.49700000000000005	-1.0
167	1.07	-0.985	1.0
2235	0.0984	0.629	1.0
699	-1.42	0.83	-1.0
2075	-0.779	-1.2	-1.0
4296	0.948	0.985	-1.0
900	0.9690000000000001	0.9209999999999999	-1.0
2008	-0.8109999999999999	-1.35	-1.0
3408	-0.345	0.376	1.0
958	0.512	-1.34	-1.0
3671	-0.24100000000000002	0.774	1.0
4150	1.1	0.74	-1.0
2864	-0.2	-1.02	-1.0
1616	0.305	1.63	1.0
1096	-0.9470000000000001	0.445	1.0
4275	0.335	1.15	-1.0
4575	1.46	-0.111	-1.0
2018	0.13699999999999998	-0.247	1.0
2257	-0.145	-1.39	-1.0
1316	0.0066	-0.9940000000000001	-1.0
2251	-1.39	-0.322	1.0
4550	-0.0699	-1.2	-1.0
2531	2.32	1.3	1.0
4920	-1.57	0.37799999999999995	-1.0
136	-0.833	-0.569	-1.0
4310	1.31	0.151	-1.0
4339	0.301	-1.29	-1.0
433	-0.0203	1.92	1.0
725	0.377	0.198	1.0
2773	-0.126	-1.67	-1.0
4471	-0.0652	0.631	1.0
1721	-1.04	1.33	-1.0
1436	0.066	-1.23	-1.0
4040	-0.823	0.7290000000000001	-1.0
3022	0.40700000000000003	1.8	-1.0
91	0.495	-0.281	1.0
5186	0.6609999999999999	-0.19899999999999998	1.0
4489	1.26	0.305	-1.0
2764	1.11	0.9890000000000001	-1.0
1756	0.446	-1.07	-1.0
2972	0.856	0.669	-1.0
4628	-1.77	-0.5920000000000001	1.0
3398	-1.87	-1.0	1.0
212	0.579	-1.02	1.0
1579	-0.348	0.11900000000000001	1.0
4418	-1.52	-0.993	1.0
813	-0.34700000000000003	-1.5	-1.0
2666	0.823	-0.248	1.0
3842	-0.223	1.65	1.0
3848	0.521	0.56	1.0
1556	0.0762	-1.27	-1.0
1240	-0.614	-1.43	-1.0
3341	-0.315	-1.3	-1.0
498	-0.8809999999999999	-1.59	-1.0
3485	1.22	0.423	-1.0
4782	-0.768	0.209	1.0
1163	-0.5670000000000001	-1.14	-1.0
5073	0.544	1.63	1.0
4462	-0.41100000000000003	-1.34	-1.0
3531	-0.973	0.107	1.0
5296	-1.7	-0.569	1.0
553	1.2	0.298	-1.0
907	0.258	0.309	1.0
4045	-1.39	-0.943	1.0
1781	0.205	-1.28	-1.0
3329	-1.83	-0.746	1.0
4192	1.53	0.228	-1.0
4452	1.41	0.319	-1.0
1815	-1.06	1.49	-1.0
4309	-0.0117	-1.34	-1.0
4581	-0.10800000000000001	1.7	-1.0
443	1.18	0.392	-1.0
397	0.569	1.62	1.0
683	0.324	1.68	1.0
528	1.25	-0.35	-1.0
4163	-1.33	-0.12	1.0
4038	-1.78	-0.607	1.0
1008	1.3	0.648	-1.0
299	-1.9	0.106	1.0
1505	-0.491	-0.429	1.0
2855	0.9740000000000001	0.898	-1.0
1611	-0.6990000000000001	0.755	-1.0
4222	0.184	0.5579999999999999	1.0
4022	0.10099999999999999	0.8809999999999999	1.0
3522	0.37799999999999995	0.987	-1.0
5114	0.428	-0.494	1.0
4265	-0.555	0.9079999999999999	-1.0
2833	0.83	1.67	1.0
5260	1.06	0.44299999999999995	-1.0
5135	-2.02	-0.792	1.0
3146	-0.278	-1.32	-1.0
3155	1.41	0.258	-1.0
2124	-0.261	-1.27	-1.0
4516	1.74	-0.14300000000000002	-1.0
3507	0.518	1.7	-1.0
1535	1.23	-0.115	-1.0
4092	0.782	-0.139	1.0
3203	-0.855	-1.33	-1.0
3422	1.66	0.243	-1.0
3521	-0.0189	-1.28	-1.0
5093	-1.55	-1.47	1.0
2697	-0.741	0.9790000000000001	-1.0
3997	0.843	0.634	-1.0
546	0.47200000000000003	0.289	1.0
416	-0.513	1.29	-1.0
232	0.37799999999999995	-0.0609	1.0
5129	1.0	0.254	-1.0
205	2.06	-0.48200000000000004	-1.0
4616	2.18	1.21	1.0
5222	0.877	0.161	-1.0
1264	-0.507	1.24	-1.0
3168	-0.11	-0.37200000000000005	1.0
472	-0.9940000000000001	1.14	-1.0
548	-0.413	-0.0275	1.0
4705	1.44	0.276	-1.0
1086	1.27	0.301	-1.0
44	1.13	0.405	-1.0
2238	0.00295	-0.125	1.0
17	1.26	1.21	1.0
2278	-0.635	1.94	1.0
4723	1.47	-1.44	1.0
842	0.21600000000000003	-1.12	-1.0
2909	1.4	0.855	-1.0
3996	-0.326	0.0769	1.0
1275	-0.71	-0.8740000000000001	1.0
4331	0.715	1.3	-1.0
1555	-0.353	1.98	1.0
1513	0.109	1.65	1.0
4984	1.16	-0.768	1.0
3396	-0.048	-1.06	-1.0
291	1.19	-1.34	1.0
5020	-1.25	-0.6559999999999999	1.0
5208	0.0529	1.52	-1.0
3089	0.0545	2.0	-1.0
2725	-1.81	0.0758	1.0
1200	-0.156	-1.16	-1.0
4732	0.608	-1.18	1.0
27	1.28	0.691	-1.0
574	1.28	-0.17600000000000002	1.0
4159	-0.536	-0.8140000000000001	-1.0
1228	-2.12	-0.575	1.0
2228	0.41600000000000004	0.1	1.0
2194	-0.0659	-1.33	-1.0
3614	0.17800000000000002	-1.24	-1.0
1740	0.532	-0.0431	1.0
3158	-0.833	-1.23	-1.0
4290	-0.865	1.6	-1.0
1831	0.478	1.31	1.0
5214	1.15	-0.451	1.0
1497	1.19	0.594	-1.0
1858	0.24600000000000002	-0.767	-1.0
3829	1.38	1.25	1.0
1865	-0.7090000000000001	-0.9420000000000001	-1.0
5155	-0.613	0.775	1.0
4929	0.774	0.617	-1.0
4119	0.672	1.57	-1.0
3346	-1.21	1.19	-1.0
2055	1.0	-0.0897	-1.0
407	-0.364	-0.0828	1.0
1729	0.816	-0.133	1.0
953	-1.43	0.7070000000000001	-1.0
2377	-0.922	0.5329999999999999	-1.0
2142	0.316	1.43	1.0
4553	1.02	0.0975	-1.0
1448	0.8540000000000001	1.15	-1.0
20	-1.01	-1.36	-1.0
3435	2.42	1.5	1.0
1438	1.31	0.32799999999999996	-1.0
383	-0.516	-0.935	-1.0
1350	-1.7	0.42200000000000004	-1.0
1640	-1.11	0.00172	1.0
176	1.06	-0.42700000000000005	1.0
4785	-0.825	0.48100000000000004	1.0
3607	0.9329999999999999	-1.24	1.0
3274	0.105	-0.20800000000000002	1.0
3587	-1.79	-0.0728	1.0
2665	0.614	-0.705	1.0
3929	-0.618	-0.506	1.0
2233	0.314	-1.25	-1.0
1827	-1.27	-0.6729999999999999	1.0
3750	0.465	0.8420000000000001	-1.0
3108	0.569	0.48100000000000004	1.0
4133	-0.6729999999999999	-0.177	1.0
323	0.0346	1.7	-1.0
320	-0.639	-0.938	-1.0
4776	-0.42	1.11	-1.0
2774	1.14	-1.57	1.0
1027	-1.29	0.8909999999999999	-1.0
3059	-0.431	-0.34600000000000003	1.0
3250	1.8	1.32	1.0
601	-0.937	-0.086	1.0
4169	-0.767	-1.2	-1.0
468	-0.28800000000000003	0.305	1.0
2301	1.34	1.37	1.0
3257	-0.779	-1.04	-1.0
3896	0.8109999999999999	1.07	-1.0
70	-0.223	-1.28	-1.0
3438	0.265	-1.06	-1.0
1271	-0.341	0.16899999999999998	1.0
4356	-0.201	1.35	-1.0
2486	1.25	-1.62	1.0
4380	0.135	0.0532	1.0
652	0.317	-0.0233	1.0
2746	-1.33	-0.0457	1.0
1177	1.33	-0.486	1.0
1866	0.945	0.239	1.0
199	0.49700000000000005	-0.6709999999999999	1.0
3731	0.753	0.7809999999999999	-1.0
3358	1.97	1.41	1.0
643	2.34	-1.25	-1.0
1280	-1.95	-0.16	1.0
2188	-1.9	-1.32	1.0
4735	0.914	0.26	-1.0
4414	-1.32	0.0399	1.0
3176	-0.381	1.41	-1.0
3958	0.8	1.56	-1.0
3754	0.42	2.1	-1.0
2245	0.595	0.546	1.0
1835	2.17	0.9259999999999999	1.0
532	0.975	0.809	-1.0
4677	0.987	0.258	-1.0
3841	-0.207	-1.37	-1.0
4298	1.46	-1.06	1.0
413	0.28600000000000003	1.23	-1.0
1876	-1.41	-0.856	1.0
4059	0.435	0.397	1.0
3630	0.389	-0.804	1.0
648	-0.748	-0.57	1.0
3186	-1.98	0.345	-1.0
3193	0.84	-0.17600000000000002	1.0
1956	0.133	2.05	-1.0
2526	-0.539	0.648	1.0
412	1.34	-0.261	-1.0
978	1.32	0.0928	-1.0
2671	-1.03	0.27699999999999997	1.0
3460	0.633	0.9009999999999999	-1.0
4593	1.34	-0.0272	-1.0
4664	0.6729999999999999	0.172	1.0
2580	0.897	0.294	-1.0
547	1.64	0.174	-1.0
2160	-0.021	-1.09	-1.0
733	-1.89	-0.727	1.0
3490	1.12	-1.72	1.0
801	0.0991	-1.05	-1.0
471	-1.27	-0.273	1.0
5091	-0.109	-1.07	-1.0
375	-0.769	1.35	-1.0
4105	1.03	-0.805	1.0
2298	1.03	-0.0835	-1.0
936	0.73	-0.37	-1.0
1939	-1.15	-0.647	1.0
3737	-0.474	0.264	1.0
2345	-1.62	-0.8959999999999999	1.0
977	0.413	-1.3	-1.0
816	-0.341	-0.0358	1.0
2732	-0.737	-0.617	-1.0
3149	0.251	0.171	1.0
4819	-0.102	1.57	1.0
1967	-0.847	-0.8959999999999999	-1.0
3390	-1.64	-1.05	1.0
3072	1.16	0.598	-1.0
3470	-0.132	1.68	1.0
649	1.02	0.997	-1.0
2504	-1.79	-1.46	1.0
4295	-1.82	0.474	-1.0
493	1.31	-0.254	-1.0
4787	1.61	-0.387	-1.0
3241	-1.46	1.2	-1.0
1647	1.59	1.72	1.0
5000	-1.81	-0.9940000000000001	1.0
2620	1.16	0.7759999999999999	-1.0
3819	-0.716	-1.19	-1.0
5247	-0.653	0.433	1.0
2250	-0.733	-1.34	-1.0
5285	0.308	0.11699999999999999	1.0
2930	-0.8109999999999999	-1.15	-1.0
4395	-0.9259999999999999	0.9159999999999999	-1.0
2581	2.46	1.21	1.0
727	0.125	2.16	-1.0
4532	-1.84	-0.846	1.0
5035	0.9740000000000001	0.512	-1.0
2686	-1.04	-1.42	-1.0
2891	0.484	1.04	-1.0
285	-1.37	-0.8029999999999999	1.0
1234	-1.89	-0.799	1.0
2540	-0.121	-0.498	1.0
1189	-0.621	-1.12	-1.0
4344	0.19399999999999998	-1.27	-1.0
3626	1.53	-1.81	1.0
2300	-1.46	-0.179	1.0
3208	0.42700000000000005	1.99	-1.0
2927	0.606	1.77	1.0
1911	-1.4	1.19	-1.0
2811	1.13	1.51	1.0
94	1.36	-0.732	1.0
5174	0.215	-1.66	-1.0
1221	-1.37	0.645	-1.0
4000	1.97	0.040999999999999995	-1.0
2779	1.57	-0.0786	-1.0
4204	0.985	0.114	-1.0
1372	-0.7120000000000001	-1.1	-1.0
106	-0.838	0.35600000000000004	1.0
4955	2.41	1.26	1.0
4617	0.634	0.366	1.0
1741	-0.171	1.68	1.0
4255	-1.74	0.6970000000000001	-1.0
970	0.522	1.36	1.0
534	-0.946	1.02	-1.0
740	-1.07	0.534	1.0
3624	-0.0656	1.24	-1.0
2302	1.47	0.574	-1.0
4437	0.344	1.38	1.0
1909	0.7809999999999999	1.08	-1.0
4391	-1.6	-1.44	1.0
3768	-0.672	1.35	-1.0
636	0.899	-0.235	1.0
2660	-0.542	1.12	-1.0
4347	-1.36	-0.324	1.0
3876	0.603	1.8	1.0
4244	1.27	0.775	-1.0
4704	0.466	0.322	1.0
3021	0.563	0.6609999999999999	-1.0
3238	-0.265	1.28	-1.0
4670	0.33899999999999997	0.8809999999999999	-1.0
3732	1.23	0.0999	1.0
1357	1.54	-0.26	-1.0
3816	0.36700000000000005	-0.451	1.0
4660	-1.21	-1.16	1.0
815	0.313	0.18899999999999997	1.0
5143	1.35	0.22899999999999998	-1.0
1987	-1.25	-0.6890000000000001	1.0
2069	0.584	0.679	-1.0
4927	0.617	-0.0096	1.0
4170	0.613	1.35	-1.0
1822	0.281	0.34299999999999997	1.0
4321	-1.98	-0.655	1.0
2076	-1.3	0.5770000000000001	-1.0
4239	0.179	1.87	-1.0
2682	0.386	1.92	-1.0
763	-0.853	-1.17	-1.0
4836	-0.672	-0.601	-1.0
2900	-1.74	-0.521	1.0
4470	-0.858	-1.2	-1.0
143	-0.214	0.38	1.0
2706	0.115	1.41	1.0
1878	0.444	1.14	-1.0
3319	-0.33399999999999996	1.63	-1.0
713	-0.109	-0.884	-1.0
450	-0.455	0.868	-1.0
21	-0.863	0.496	1.0
1433	0.8240000000000001	0.45	-1.0
940	0.546	-0.195	1.0
4715	0.364	-0.858	-1.0
3513	-0.9640000000000001	0.10800000000000001	1.0
3501	-0.222	0.156	1.0
460	-0.784	-1.05	-1.0
1274	-0.11599999999999999	0.0815	1.0
1642	-0.862	1.53	-1.0
2775	-1.82	-0.665	1.0
4811	0.809	0.741	-1.0
2386	-2.04	0.131	-1.0
520	-0.18100000000000002	0.344	1.0
1327	-0.7979999999999999	-1.21	-1.0
4248	-0.633	0.257	1.0
4403	0.22899999999999998	1.63	-1.0
1467	1.42	-0.6970000000000001	1.0
4448	-1.5	0.282	1.0
2307	1.29	-0.151	-1.0
2218	0.98	-0.8320000000000001	1.0
2790	1.01	-0.205	1.0
3376	-0.973	-0.126	1.0
2027	-0.226	-1.06	-1.0
2631	-1.24	0.7879999999999999	-1.0
5160	0.764	-0.804	1.0
4438	0.22	-1.36	-1.0
4195	-0.0175	-1.21	-1.0
3331	-0.813	-1.23	-1.0
3866	-1.92	-1.17	1.0
1707	-0.0468	-0.332	1.0
4772	-0.315	-1.09	-1.0
1342	-0.71	0.465	1.0
4227	-0.511	1.53	-1.0
780	-0.573	-0.789	1.0
3426	0.0128	1.29	-1.0
2331	1.47	-0.0578	-1.0
2821	0.377	1.72	1.0
1152	0.0496	-1.05	-1.0
486	-0.8909999999999999	1.0	-1.0
2761	0.521	0.375	1.0
1245	-0.251	0.846	1.0
4546	0.725	-0.99	1.0
600	-0.00329	-0.0777	1.0
2528	0.0105	-1.26	-1.0
311	0.586	1.15	-1.0
934	-0.6729999999999999	0.313	1.0
2649	0.177	-1.37	-1.0
5176	-0.33799999999999997	-1.33	-1.0
1186	-0.693	0.953	-1.0
2295	-0.436	0.821	1.0
4743	0.512	-0.49	1.0
739	-0.951	0.5329999999999999	-1.0
2127	-0.27899999999999997	-1.06	-1.0
659	-1.14	0.488	-1.0
2074	1.43	0.498	-1.0
1377	-0.845	-0.377	1.0
2521	-1.89	-0.418	1.0
2150	0.857	0.875	-1.0
3975	-0.872	0.6629999999999999	-1.0
1082	1.66	1.3	1.0
909	1.05	0.6509999999999999	-1.0
4851	-0.0554	-1.28	-1.0
4746	1.18	0.7659999999999999	-1.0
4973	0.774	-1.22	1.0
304	1.08	0.79	-1.0
2317	-1.63	-0.363	1.0
641	1.07	0.0877	-1.0
2427	0.557	1.38	-1.0
5178	0.0533	-1.02	-1.0
868	-0.10400000000000001	-1.09	-1.0
5163	1.25	-0.11800000000000001	-1.0
1857	-0.0222	-0.20199999999999999	1.0
4899	1.62	-0.0187	-1.0
2379	0.32799999999999996	0.5529999999999999	-1.0
687	-1.31	-0.22899999999999998	1.0
2696	1.5	0.541	-1.0
4662	0.33399999999999996	1.04	-1.0
5032	-1.32	-0.08800000000000001	1.0
3550	1.06	-0.45299999999999996	1.0
341	0.262	-0.6729999999999999	-1.0
